epoch,train_loss,val_loss,train_accuracy,val_accuracy,time
1,4.801,4.395,0.061,0.097,241.268
2,4.049,3.703,0.120,0.169,239.586
3,3.855,3.665,0.147,0.179,239.327
4,3.757,3.546,0.164,0.199,239.385
5,3.714,3.458,0.170,0.218,239.379
6,3.685,3.506,0.178,0.202,239.872
7,3.655,3.488,0.181,0.210,240.119
8,3.624,3.516,0.187,0.202,240.109
9,3.610,3.352,0.190,0.239,240.103
10,3.588,3.385,0.194,0.227,239.942
11,3.585,3.429,0.196,0.222,240.187
12,3.577,3.412,0.196,0.227,240.570
13,3.568,3.335,0.197,0.235,241.046
14,3.552,3.384,0.198,0.241,239.309
15,3.558,3.389,0.199,0.226,239.295
16,2.966,2.618,0.306,0.378,239.420
17,2.731,2.538,0.350,0.395,239.305
18,2.645,2.474,0.368,0.404,239.505
19,2.571,2.492,0.384,0.409,240.926
20,2.536,2.431,0.393,0.419,239.470
21,2.497,2.399,0.400,0.432,238.989
22,2.468,2.428,0.406,0.419,238.956
23,2.438,2.366,0.411,0.435,238.851
24,2.412,2.369,0.417,0.432,238.915
25,2.380,2.308,0.425,0.442,239.229
26,2.368,2.288,0.427,0.449,239.131
27,2.344,2.282,0.433,0.452,239.188
28,2.320,2.267,0.438,0.455,239.189
29,2.308,2.271,0.439,0.450,239.820
30,2.291,2.262,0.445,0.458,239.061
31,2.277,2.246,0.448,0.455,239.074
32,1.943,2.008,0.522,0.508,239.024
33,1.820,1.978,0.551,0.514,238.973
34,1.759,1.972,0.566,0.517,239.125
