epoch,train_loss,val_loss,train_accuracy,val_accuracy,time
1,4.821,4.263,0.055,0.093,226.068
2,4.179,3.891,0.104,0.146,202.847
3,4.061,3.861,0.119,0.157,202.760
4,4.000,3.862,0.129,0.157,202.742
5,3.970,3.786,0.133,0.164,202.847
6,3.955,3.796,0.137,0.159,202.807
7,3.942,3.832,0.140,0.153,202.849
8,3.922,3.722,0.143,0.178,202.883
9,3.920,3.683,0.143,0.176,202.871
10,3.903,3.814,0.145,0.163,202.775
11,3.363,3.026,0.230,0.297,202.789
12,3.157,2.945,0.269,0.317,202.719
13,3.078,2.904,0.285,0.318,202.883
14,3.024,2.820,0.296,0.344,202.782
15,2.975,2.798,0.305,0.340,202.915
16,2.932,2.786,0.312,0.344,202.809
17,2.886,2.717,0.323,0.361,203.098
18,2.854,2.686,0.331,0.365,202.766
19,2.822,2.655,0.335,0.369,202.854
20,2.793,2.659,0.342,0.364,202.838
21,2.772,2.610,0.344,0.379,202.750
22,2.749,2.601,0.348,0.380,202.820
23,2.727,2.569,0.354,0.391,202.761
24,2.699,2.567,0.360,0.389,202.768
25,2.685,2.538,0.365,0.396,202.759
26,2.673,2.523,0.366,0.394,202.840
27,2.652,2.512,0.372,0.395,202.775
28,2.640,2.546,0.374,0.391,202.754
29,2.323,2.217,0.443,0.471,202.827
30,2.204,2.174,0.467,0.473,202.728
31,2.150,2.144,0.479,0.483,202.741
32,2.112,2.131,0.489,0.484,202.754
33,2.081,2.131,0.493,0.486,202.864
34,2.060,2.115,0.499,0.488,202.804
35,2.039,2.092,0.504,0.494,202.770
36,2.023,2.111,0.509,0.488,204.591
37,2.007,2.109,0.510,0.489,202.791
38,1.992,2.089,0.514,0.492,202.716
39,1.982,2.086,0.514,0.492,202.714
40,1.972,2.100,0.517,0.489,202.555
